,0
0,C001
1,C101
2,C102
3,C103
4,C104
5,C578
6,T031
7,T060
8,T062
9,C026
10,C045
11,C046
12,C048
13,C049
14,C084
15,C093
16,C109
17,C112
18,C113
19,C115
20,C127
21,C143
22,C180
23,C182
24,C185
25,C203
26,C221
27,C231
28,C266
29,C275
30,C282
31,C283
32,C294
33,C374
34,C382
35,C528
36,T026
37,T034
38,T039
39,T056
40,T067
41,T071
42,T077
43,T079
